Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","Net-Tie-Width-0.50mm","ST25Rxxx-ANT-12x12mm",167.660402,-130.995645,180.000000,bottom
"ANT2","Net-Tie-Width-0.50mm","ST25Rxxx-ANT-12x12mm",167.246000,-63.117120,0.000000,bottom
"C1","100nF","C0603",175.000000,-102.000000,0.000000,bottom
"C13","200pF 1%","C0603",168.600000,-101.130000,0.000000,bottom
"C16","200pF 1%","C0603",166.150000,-93.130000,0.000000,bottom
"C18","10pF","C0603",165.700000,-100.500000,-45.000000,bottom
"C20","10pF","C0603",162.300000,-104.100000,135.000000,bottom
"C23","100nF","C0603",157.900000,-103.630000,90.000000,bottom
"C28","33pF 2%","C0603",166.100000,-91.380000,0.000000,bottom
"C30","10nF","C0603",155.900000,-103.630000,90.000000,bottom
"C32","33pF 2%","C0603",168.500000,-102.880000,180.000000,bottom
"C33","2.2uF/10V","C0603",154.150000,-103.630000,90.000000,bottom
"C35","10nF","C0603",155.900000,-100.630000,-90.000000,bottom
"C37","10nF","C0603",159.800000,-93.880000,0.000000,bottom
"C39","2.2uF/10V","C0603",154.150000,-100.630000,-90.000000,bottom
"C41","2.2uF/10V","C0603",159.650000,-92.130000,0.000000,bottom
"C43","220pF","C0603",166.150000,-89.500000,180.000000,bottom
"C46","10pF","C0603",167.610000,-87.880000,180.000000,bottom
"C48","150pF","C0603",170.900000,-87.880000,180.000000,bottom
"C51","150pF","C0603",171.900000,-106.380000,0.000000,bottom
"C54","10pF","C0603",168.650000,-106.380000,0.000000,bottom
"C55","220pF","C0603",168.600000,-104.630000,180.000000,bottom
"C58","10nF","C0603",154.650000,-98.130000,0.000000,bottom
"C60","1uF/10V","C0603",162.900000,-93.880000,0.000000,bottom
"C62","4.7uF/10V","C0603",153.900000,-96.380000,0.000000,bottom
"C63","10nF","C0603",156.900000,-96.380000,0.000000,bottom
"C65","10nF","C0603",162.900000,-92.130000,0.000000,bottom
"C70","2.2uF/10V","C0603",156.900000,-94.630000,0.000000,bottom
"C72","1uF/10V","C0603",154.150000,-92.880000,180.000000,bottom
"Q2","AO3401A","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR",174.200000,-88.500000,0.000000,bottom
"R4","470k","R0603",173.650000,-86.130000,0.000000,bottom
"R5","1k","R0603",171.800000,-90.600000,0.000000,bottom
"R8","120R","R0603",181.000000,-87.250000,-90.000000,bottom
"R11","1R5","R0603",167.650000,-86.130000,0.000000,bottom
"R14","1R5","R0603",167.150000,-108.300000,180.000000,bottom
"U2","SN65HVD230DR","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",174.250000,-98.380000,90.000000,bottom
"U8","G3VM-61VY3","SMD-4_L4.6-W3.7-P2.54-LS7.0-TL",173.000000,-93.380000,0.000000,bottom
"U15","ST25R200","QFN-24_L4.0-W4.0-P0.50-TL-EP2.8",160.334315,-99.046548,45.000000,bottom
"U17","BLM18PG471SZ1D","L0603",154.150000,-94.630000,180.000000,bottom
"X1","NX2016SA 27.12MHz","CRYSTAL-SMD_4P-L2.0-W1.6-BL",164.000000,-102.300000,45.000000,bottom
"C3","100nF","C0603",169.100000,-89.130000,180.000000,top
"C5","1uF","C0603",160.400000,-89.130000,180.000000,top
"C7","100nF","C0603",174.650000,-89.130000,0.000000,top
"C9","1uF","C0603",163.900000,-90.900000,-90.000000,top
"C12","100nF","C0603",160.600000,-97.130000,0.000000,top
"C22","100nF","C0603",178.000000,-105.700000,-90.000000,top
"C26","100nF","C0603",153.100000,-103.400000,-90.000000,top
"C50","100nF","C0603",181.400000,-89.300000,0.000000,top
"C67","100nF","C0603",156.900000,-86.880000,90.000000,top
"LED1","SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",180.650000,-108.630000,90.000000,top
"LED4","SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",153.900000,-109.300000,90.000000,top
"LED6","SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",180.900000,-84.130000,-90.000000,top
"LED7","SK6812MINI-E","LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E",154.400000,-84.130000,-90.000000,top
"R1","4.7k","R0603",172.100000,-87.380000,180.000000,top
"R9","220R","R0603",156.100000,-93.600000,0.000000,top
"U4","AP2112K-3.3TRG1","SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL",161.150000,-92.380000,180.000000,top
"U5","ESP32-C3-MINI-1-H4X","WIFIM-SMD_ESP32-C3-MINI-1",172.000000,-96.880000,-90.000000,top
"U9","SN74AHCT1G14DCKR","SOT-353_L2.2-W1.4-P0.65-LS2.4-BR",161.100000,-99.380000,180.000000,top
