"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part Name","MANUFACTURER","Manufacturer Part","MANUFACTURER PART NUMBER","LCSC Part"
"ANT1,ANT2","2","Net-Tie-Width-0.50mm","","","","SpaghettiLAB:ST25Rxxx-ANT-12x12mm","","","N/A","","",""
"C1,C3,C7,C12,C22,C23,C26,C50,C67","9","100nF","","","","SpaghettiLAB2:C0603","","","MURATA","","",""
"C5,C9","2","1uF","","","","SpaghettiLAB2:C0603","","","","","",""
"C13,C16","2","200pF 1%","","","","SpaghettiLAB2:C0603","","","MURATA","","GRT1555C1H221FA02D",""
"C18,C20,C46,C54","4","10pF","","","","SpaghettiLAB2:C0603","","","MULTI-SOURCES","","",""
"C28,C32","2","33pF 2%","","","","SpaghettiLAB2:C0603","","","MURATA","","",""
"C30,C35,C37,C58,C63,C65","6","10nF","","","","SpaghettiLAB2:C0603","","","MURATA","","",""
"C33,C39,C41,C70","4","2.2uF/10V","","","","SpaghettiLAB2:C0603","","","MURATA","","",""
"C43,C55","2","220pF","","","","SpaghettiLAB2:C0603","","","MURATA","","GRM1885C1H241GA01J",""
"C48,C51","2","150pF","","","","SpaghettiLAB2:C0603","","","MULTI-SOURCES","","",""
"C60,C72","2","1uF/10V","","","","SpaghettiLAB2:C0603","","","MURATA","","",""
"C62","1","4.7uF/10V","","","","SpaghettiLAB2:C0603","","","MURATA","","",""
"J1","1","RESET","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","",""
"J2,J4","2","FROM_PREVIOUS","","","","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Horizontal","","","","","",""
"J5","1","CONN_A","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","","","","",""
"J6","1","BOOTLOADER","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","",""
"J7","1","CONN_B","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","","","","",""
"J8","1","CORE_B","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","","","","",""
"J9","1","TO NEXT","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","","","","","",""
"J10","1","CORE_A","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","","","","",""
"J11","1","MOUNT","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","","","","","",""
"J13","1","FIELD_B","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","","","","",""
"J14","1","FIELD_A","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","","","","",""
"J15","1","UART PROG","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","",""
"LED1,LED4,LED6,LED7","4","SK6812MINI-E","","","","SpaghettiLAB2:LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E","https://item.szlcsc.com/datasheet/SK6812MINI-E/5773397.html","工作电压5V、发光角度120°、灰度调节256级的RGB LED","欧思科光电","SK6812MINI-E","",""
"Q2","1","AO3401A","","","","SpaghettiLAB:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","https://lcsc.com/product-detail/MOSFET_AOS_AO3401A_AO3401A_C15127.html","","AOS","","","C15127"
"R1","1","4.7k","","","","SpaghettiLAB2:R0603","","","","","",""
"R4","1","470k","","","","SpaghettiLAB2:R0603","","","","","",""
"R5","1","1k","","","","SpaghettiLAB2:R0603","","","","","",""
"R8","1","120R","","","","SpaghettiLAB2:R0603","","","","","",""
"R9","1","220R","","","","SpaghettiLAB2:R0603","","","","","",""
"R11,R14","2","1R5","","","","SpaghettiLAB2:R0603","","","MULTI-SOURCES","","",""
"TP2,TP4,TP17,TP20","4","SMD/0.8mm","","","","TestPoint:TestPoint_Pad_D1.0mm","","","N/A","","",""
"TP6,TP7,TP10,TP11,TP14,TP16","6","SMD/0.6mm","","","","TestPoint:TestPoint_Pad_D1.0mm","","","N/A","","",""
"U2","1","SN65HVD230DR","","","","SpaghettiLAB:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","https://lcsc.com/product-detail/CAN_TI_SN65HVD230DR_SN65HVD230DR_C12084.html","","TI(德州仪器)","","","C12084"
"U4","1","AP2112K-3.3TRG1","","","","SpaghettiLAB2:SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL","https://lcsc.com/product-detail/Low-Dropout-Regulators-LDO_DIODES_AP2112K-3-3TRG1_AP2112K-3-3TRG1_C51118.html","","DIODES(美台)","","","C51118"
