Designator,Footprint,Quantity,Value,LCSC Part #
"ANT1_4, ANT1_3, ANT1_2, ANT1, ANT2_4, ANT2_3, ANT2_2, ANT2",ST25Rxxx-ANT-12x12mm,8,Net-Tie-Width-0.50mm,
"C1_4, C1_3, C1_2, C1",C0603,4,100nF,CL05B104KA5NNNC
"C12_4, C12_3, C12_2, C12, C22_4, C22_3, C22_2, C22, C23_4, C23_3, C23_2, C23, C50_4, C50_3, C50_2, C50, C67_4, C67_3, C67_2, C67",C0603,20,100nF,
"C13_4, C13_3, C13_2, C13, C16_4, C16_3, C16_2, C16",C0603,8,200pF 1%,
"C18_4, C18_3, C18_2, C18, C20_4, C20_3, C20_2, C20",C0603,8,10pF,
"C26_4, C26_3, C26_2, C26, C3_4, C3_3, C3_2, C3, C7_4, C7_3, C7_2, C7",C0603,12,100nF,C1644
"C28_4, C28_3, C28_2, C28",C0603,4,33pF 2%,
"C30_4, C30_3, C30_2, C30, C35_4, C35_3, C35_2, C35, C37_4, C37_3, C37_2, C37, C58_4, C58_3, C58_2, C58, C63_4, C63_3, C63_2, C63, C65_4, C65_3, C65_2, C65",C0603,24,10nF,
"C32_4, C32_3, C32_2, C32",C0603,4,33pF 2%,C1644
"C33_4, C33_3, C33_2, C33",C0603,4,2.2uF/10V,C1644
"C39_4, C39_3, C39_2, C39, C41_4, C41_3, C41_2, C41, C70_4, C70_3, C70_2, C70",C0603,12,2.2uF/10V,
"C43_4, C43_3, C43_2, C43, C55_4, C55_3, C55_2, C55",C0603,8,220pF,
"C46_4, C46_3, C46_2, C46, C54_4, C54_3, C54_2, C54",C0603,8,10pF,C1644
"C48_4, C48_3, C48_2, C48, C51_4, C51_3, C51_2, C51",C0603,8,150pF,
"C5_4, C5_3, C5_2, C5",C0603,4,1uF,C1644
"C60_4, C60_3, C60_2, C60, C72_4, C72_3, C72_2, C72",C0603,8,1uF/10V,
"C62_4, C62_3, C62_2, C62",C0603,4,4.7uF/10V,C1644
"C9_4, C9_3, C9_2, C9",C0603,4,1uF,
"J1_4, J1_3, J1_2, J1",PinHeader_1x02_P2.54mm_Vertical,4,RESET,
"J10_4, J10_3, J10_2, J10",PinSocket_1x03_P2.54mm_Vertical,4,CORE_A,
"J11_4, J11_3, J11_2, J11",PinHeader_1x05_P2.54mm_Horizontal,4,MOUNT,
"J13_4, J13_3, J13_2, J13",PinSocket_1x03_P2.54mm_Vertical,4,FIELD_B,
"J14_4, J14_3, J14_2, J14",PinSocket_1x03_P2.54mm_Vertical,4,FIELD_A,
"J15_4, J15_3, J15_2, J15",PinHeader_1x02_P2.54mm_Vertical,4,UART PROG,
"J2_4, J2_3, J2_2, J2, J4_4, J4_3, J4_2, J4",PinSocket_1x05_P2.54mm_Horizontal,8,FROM_PREVIOUS,
"J5_4, J5_3, J5_2, J5",PinSocket_1x03_P2.54mm_Vertical,4,CONN_A,
"J6_4, J6_3, J6_2, J6",PinHeader_1x02_P2.54mm_Vertical,4,BOOTLOADER,
"J7_4, J7_3, J7_2, J7",PinSocket_1x03_P2.54mm_Vertical,4,CONN_B,
"J8_4, J8_3, J8_2, J8",PinSocket_1x03_P2.54mm_Vertical,4,CORE_B,
"J9_4, J9_3, J9_2, J9",PinHeader_1x05_P2.54mm_Horizontal,4,TO NEXT,
"LED1_4, LED1_3, LED1_2, LED1, LED6_4, LED6_3, LED6_2, LED6",LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,8,SK6812MINI-E,C5149201
"LED4_4, LED4_3, LED4_2, LED4, LED7_4, LED7_3, LED7_2, LED7",LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,8,SK6812MINI-E,
"Q2_4, Q2_3, Q2_2, Q2",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,4,AO3401A,C15127
"R1_4, R1_3, R1_2, R1",R0603,4,4.7k,C2930027
"R11_4, R11_3, R11_2, R11",R0603,4,1R5,
"R14_4, R14_3, R14_2, R14",R0603,4,1R5,C2930027
