Designator,Mid X,Mid Y,Rotation,Layer
ANT1_4,23.860402,-75.915645,0.0,bottom
ANT1_3,23.860402,-145.635645,0.0,bottom
ANT1_2,57.210402,-145.635645,0.0,bottom
ANT1,57.210402,-75.915645,0.0,bottom
ANT2_4,23.446,-8.03712,180.0,bottom
ANT2_3,56.796,-77.75712,180.0,bottom
ANT2_2,56.796,-8.03712,180.0,bottom
ANT2,23.446,-77.75712,180.0,bottom
C1_4,64.55,-46.92,180.0,bottom
C1_3,64.55,-116.64,180.0,bottom
C1_2,31.2,-116.64,180.0,bottom
C1,31.2,-46.92,180.0,bottom
C12_4,50.15,-111.77,0.0,top
C12_3,16.8,-111.77,0.0,top
C12_2,50.15,-42.05,0.0,top
C12,16.8,-42.05,0.0,top
C13_4,58.15,-115.77,180.0,bottom
C13_3,58.15,-46.05,180.0,bottom
C13_2,24.8,-46.05,180.0,bottom
C13,24.8,-115.77,180.0,bottom
C16_4,55.7,-107.77,180.0,bottom
C16_3,22.35,-107.77,180.0,bottom
C16_2,55.7,-38.05,180.0,bottom
C16,22.35,-38.05,180.0,bottom
C18_4,21.9,-115.14,225.0,bottom
C18_3,55.25,-115.14,225.0,bottom
C18_2,55.25,-45.42,225.0,bottom
C18,21.9,-45.42,225.0,bottom
C20_4,51.85,-118.74,45.0,bottom
C20_3,18.5,-49.02,45.0,bottom
C20_2,51.85,-49.02,45.0,bottom
C20,18.5,-118.74,45.0,bottom
C22_4,34.2,-50.62,270.0,top
C22_3,67.55,-50.62,270.0,top
C22_2,34.2,-120.34,270.0,top
C22,67.55,-120.34,270.0,top
C23_4,14.1,-118.27,90.0,bottom
C23_3,47.45,-48.55,90.0,bottom
C23_2,14.1,-48.55,90.0,bottom
C23,47.45,-118.27,90.0,bottom
C26_4,9.3,-118.04,270.0,top
C26_3,42.65,-118.04,270.0,top
C26_2,9.3,-48.32,270.0,top
C26,42.65,-48.32,270.0,top
C28_4,22.3,-36.3,180.0,bottom
C28_3,55.65,-106.02,180.0,bottom
C28_2,55.65,-36.3,180.0,bottom
C28,22.3,-106.02,180.0,bottom
C3_4,25.3,-34.05,180.0,top
C3_3,58.65,-34.05,180.0,top
C3_2,25.3,-103.77,180.0,top
C3,58.65,-103.77,180.0,top
C30_4,12.1,-48.55,90.0,bottom
C30_3,45.45,-118.27,90.0,bottom
C30_2,12.1,-118.27,90.0,bottom
C30,45.45,-48.55,90.0,bottom
C32_4,58.05,-47.8,0.0,bottom
C32_3,58.05,-117.52,0.0,bottom
C32_2,24.7,-47.8,0.0,bottom
C32,24.7,-117.52,0.0,bottom
C33_4,10.35,-118.27,90.0,bottom
C33_3,10.35,-48.55,90.0,bottom
C33_2,43.7,-48.55,90.0,bottom
C33,43.7,-118.27,90.0,bottom
C35_4,45.45,-115.27,270.0,bottom
C35_3,12.1,-115.27,270.0,bottom
