Designator,Footprint,Quantity,Value,LCSC Part #
"ANT1, ANT2",ST25Rxxx-ANT-12x12mm,2,Net-Tie-Width-0.50mm,
C1,C0603,1,100nF,CL05B104KA5NNNC
"C12, C22, C23, C50, C67",C0603,5,100nF,
"C13, C16",C0603,2,200pF 1%,
"C18, C20",C0603,2,10pF,
"C26, C3, C7",C0603,3,100nF,C1644
C28,C0603,1,33pF 2%,
"C30, C35, C37, C58, C63, C65",C0603,6,10nF,
C32,C0603,1,33pF 2%,C1644
C33,C0603,1,2.2uF/10V,C1644
"C39, C41, C70",C0603,3,2.2uF/10V,
"C43, C55",C0603,2,220pF,
"C46, C54",C0603,2,10pF,C1644
"C48, C51",C0603,2,150pF,
C5,C0603,1,1uF,C1644
"C60, C72",C0603,2,1uF/10V,
C62,C0603,1,4.7uF/10V,C1644
C9,C0603,1,1uF,
J1,PinHeader_1x02_P2.54mm_Vertical,1,RESET,
J10,PinSocket_1x03_P2.54mm_Vertical,1,CORE_A,
J11,PinHeader_1x05_P2.54mm_Horizontal,1,MOUNT,
J13,PinSocket_1x03_P2.54mm_Vertical,1,FIELD_B,
J14,PinSocket_1x03_P2.54mm_Vertical,1,FIELD_A,
J15,PinHeader_1x02_P2.54mm_Vertical,1,UART PROG,
"J2, J4",PinSocket_1x05_P2.54mm_Horizontal,2,FROM_PREVIOUS,
J5,PinSocket_1x03_P2.54mm_Vertical,1,CONN_A,
J6,PinHeader_1x02_P2.54mm_Vertical,1,BOOTLOADER,
J7,PinSocket_1x03_P2.54mm_Vertical,1,CONN_B,
J8,PinSocket_1x03_P2.54mm_Vertical,1,CORE_B,
J9,PinHeader_1x05_P2.54mm_Horizontal,1,TO NEXT,
"LED1, LED6",LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,2,SK6812MINI-E,C5149201
"LED4, LED7",LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,2,SK6812MINI-E,
Q2,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A,C15127
R1,R0603,1,4.7k,C2930027
R11,R0603,1,1R5,
R14,R0603,1,1R5,C2930027
R4,R0603,1,470k,C2930027
R5,R0603,1,1k,RT0603FRE101KL
R8,R0603,1,120R,C2930027
R9,R0603,1,220R,C2930027
"TP10, TP11, TP14, TP16, TP6, TP7",TestPoint_Pad_D1.0mm,6,SMD/0.6mm,
"TP17, TP2, TP20, TP4",TestPoint_Pad_D1.0mm,4,SMD/0.8mm,
"U11, U13",IND-SMD_L1.6-W0.8-1,2,470nH  DCR=450m,C341701
U15,QFN-24_L4.0-W4.0-P0.50-TL-EP2.8,1,ST25R200,
U17,L0603,1,BLM18PG471SZ1D,C710387
U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,SN65HVD230DR,C12084
U4,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,1,AP2112K-3.3TRG1,C51118
U5,WIFIM-SMD_ESP32-C3-MINI-1,1,ESP32-C3-MINI-1-H4X,C41349510
U8,SMD-4_L4.6-W3.7-P2.54-LS7.0-TL,1,G3VM-61VY3,C2152318
U9,SOT-353_L2.2-W1.4-P0.65-LS2.4-BR,1,SN74AHCT1G14DCKR,
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,NX2016SA 27.12MHz,
