"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C2,C3","2","1uF","","","","SpaghettiLAB:C0603",""
"C5,C6","2","10pF","","","","SpaghettiLAB:C0603",""
"C24,C25,C26","3","4.7μF","","","","SpaghettiLAB:C0603",""
"C27,C28,C29,C34,C35,C36,C37,C38,C39,C40,C41,C58","12","100nF","","","","SpaghettiLAB:C0603","https://item.szlcsc.com/datasheet/1206B104K500CT/94389.html"
"D1","1","LED","","","","SpaghettiLAB:LED0603-RD",""
"J7","1","SWD","","","","Connector_PinHeader_1.27mm:PinHeader_1x03_P1.27mm_Vertical",""
"L5","1","3.3uH","","","","SpaghettiLAB:L1210","https://item.szlcsc.com/datasheet/CMI322513U3R3KT/150561.html"
"Q2,Q3","2","2N7002","","","","SpaghettiLAB:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"R23,R46,R47","3","33Ω","","","","SpaghettiLAB:R0603","https://item.szlcsc.com/datasheet/CR0805F827R0G/102838.html"
"R29,R49,R54","3","1k","","","","SpaghettiLAB:R0603",""
"R30","1","100k","","","","SpaghettiLAB:R0603",""
"R42","1","470Ω","","","","SpaghettiLAB:R0603",""
"R52,R53","2","5.1k","","","","SpaghettiLAB:R0603",""
"R55,R56,R57","3","10k","","","","SpaghettiLAB:R0603",""
"SW1,SW2","2","TS-1187A-B-A-B","","","","SpaghettiLAB:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5","https://lcsc.com/product-detail/Tactile-Switches_XKB-Enterprise-TS-1187-B-A-A_C318884.html"
"U2","1","AP2112K-3.3","","","","SpaghettiLAB:SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
"U3","1","LM66200DRLR","","","","SpaghettiLAB:SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL","https://www.lcsc.com/datasheet/C3235556.pdf"
"U4","1","RP2350A","","","","SpaghettiLAB:QFN-60_L7.0-W7.0-P0.40-TL-EP3.4","https://datasheets.raspberrypi.com/rp2350/rp2350-datasheet.pdf"
"U19","1","W25Q16JVSNIQ","","","","SpaghettiLAB:SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","https://item.szlcsc.com/datasheet/W25Q16JVSNIQ/2548069.html"
"USB1","1","TYPEC-324G-BCP24","","","","SpaghettiLAB:USB-C-SMD_TYPEC-324G-BCP24","https://www.lcsc.com/datasheet/C920230.pdf"
"Y1","1","Crystal","","","","SpaghettiLAB:CRYSTAL-SMD_4P-L3.2-W2.5-BL","https://www.murata.com/products/productdata/8801057177630/SPEC-XRCGB16M000FXN14R0.pdf"
