Designator,Footprint,Quantity,Value,LCSC Part #
"_25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,25,,
"C2, C3",C0603,2,1uF,C1644
"C24, C25, C26",C0603,3,4.7μF,C1644
"C27, C28, C29, C34, C35, C36, C37, C38, C39, C40, C41, C58",C0603,12,100nF,C1644
"C5, C6",C0603,2,10pF,C1644
"CN10, CN11, CN7, CN8, CN9",CONN-TH_PR5L4015-5P-C-F,5,PR5L4015-5P-C-F,C41361292
D1,LED0603-RD,1,LED,C19273150
"J2, J4, J5",PinSocket_2x05_P2.54mm_Vertical,3,Conn_02x05_Counter_Clockwise,
J7,PinHeader_1x03_P1.27mm_Vertical,1,SWD,
L5,L1210,1,3.3uH,C139240
"Q2, Q3",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2,2N7002,C8545
"R23, R46, R47",R0603,3,33Ω,C2930027
"R29, R49, R54",R0603,3,1k,C2930027
R30,R0603,1,100k,C2930027
R42,R0603,1,470Ω,C2930027
"R52, R53",R0603,2,5.1k,C2930027
"R55, R56, R57",R0603,3,10k,C2930027
"SW1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,2,TS-1187A-B-A-B,C318884
U19,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,W25Q16JVSNIQ,C2456211
U2,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,1,AP2112K-3.3,C51118
U3,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,1,LM66200DRLR,C3235556
"U35, U36, U37, U38, U39",CONN-TH_PR5L5015-5P-C-H,5,PR5L5015-5P-C-H,C41361293
U4,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,1,RP2350A,C42411118
USB1,USB-C-SMD_TYPEC-324G-BCP24,1,TYPEC-324G-BCP24,C920230
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,Crystal,C9002
