Designator,Mid X,Mid Y,Rotation,Layer
_25,116.774937,-63.374996,0.0,top
_24,57.406937,-53.647496,0.0,top
_23,85.667289,-37.660505,0.0,top
_22,114.204437,-56.276996,0.0,top
_21,62.912937,-91.193496,0.0,top
_20,88.182008,-37.666137,0.0,top
_19,107.843437,-91.589996,0.0,top
_18,80.620437,-37.622996,0.0,top
_17,61.179437,-89.375996,0.0,top
_16,112.649937,-85.784996,0.0,top
_15,59.413937,-87.567996,0.0,top
_14,90.695437,-37.629996,0.0,top
_13,113.324937,-53.900996,0.0,top
_12,53.971437,-63.119996,0.0,top
_11,55.663937,-58.396996,0.0,top
_10,66.375937,-94.813996,0.0,top
_9,115.926437,-60.997996,0.0,top
_8,115.062937,-58.658496,0.0,top
_7,64.657437,-92.991496,0.0,top
_6,106.185437,-93.517996,0.0,top
_5,109.470937,-89.645496,0.0,top
_4,111.070437,-87.729996,0.0,top
_3,83.144937,-37.618496,0.0,top
_2,56.543937,-55.991496,0.0,top
,54.809937,-60.734496,0.0,top
C2,96.75,-84.9,270.0,top
C24,74.2,-63.55,90.0,top
C25,96.3,-73.8,270.0,top
C26,90.3,-75.8,0.0,top
C27,94.5,-73.8,90.0,top
C28,85.5,-60.3,270.0,top
C29,76.0,-63.55,270.0,top
C3,94.55,-81.7,0.0,top
C34,96.8,-70.5,90.0,top
C35,90.3,-78.8,180.0,top
C36,84.4,-77.6,90.0,top
C37,79.0,-74.9,90.0,top
C38,92.6,-73.8,90.0,top
C39,78.2,-64.5,270.0,top
C40,89.92,-64.27,270.0,top
C41,81.7,-61.5,270.0,top
C5,75.1,-66.3,0.0,top
C58,101.0,-67.0,270.0,top
C6,71.2,-69.1,90.0,top
CN10,113.589899,-59.301537,70.0,bottom
CN11,108.293031,-88.615112,310.0,bottom
CN7,64.055937,-90.099996,46.0,bottom
CN8,57.089899,-58.998463,290.0,bottom
CN9,85.6,-39.2,0.0,bottom
D1,85.8,-56.6,270.0,top
H1,56.1,-75.1,0.0,top
H2,106.8,-75.4,0.0,top
H3,103.4,-45.1,0.0,top
H4,67.7,-45.8,0.0,top
J2,63.1492941037775,-73.82053342906099,190.0,top
J4,72.27155845915391,-50.459676799583704,125.0,top
J5,99.01633986395488,-49.62712426601317,50.0,top
J7,76.58111582463832,-99.46375227383919,72.0,top
L5,98.8,-74.8,270.0,top
Q2,88.9,-56.5,90.0,top
Q3,89.695,-84.7,90.0,top
R23,90.3,-77.4,0.0,top
R29,97.9,-92.0,90.0,top
R30,88.4,-59.7,180.0,top
R42,88.65,-53.7,0.0,top
R46,92.3,-70.0,180.0,top
R47,92.3,-71.5,180.0,top
R49,73.7,-71.8,180.0,top
R52,88.8,-91.5,90.0,top
R53,83.4,-91.5,270.0,top
R54,108.5,-70.4,180.0,top
R55,89.55,-81.905,180.0,top
R56,89.7,-87.905,180.0,top
R57,92.85,-89.0,90.0,top
SW1,114.6,-74.6,260.0,top
SW2,95.9,-97.5,200.0,top
U19,96.9425,-64.3,90.0,top
U2,93.95,-85.0,180.0,top
U3,95.15,-88.94,0.0,top
U35,57.131269,-58.986819,250.0,top
U36,85.62,-39.2,180.0,top
U37,113.562538,-59.226361,110.0,top
U38,64.055937,-90.099996,134.0,top
U39,108.265361,-88.608494,230.0,top
U4,84.51375,-69.6,0.0,top
USB1,86.1,-97.625,0.0,top
Y1,74.5,-69.0,0.0,top
